month_ts,total_flights,total_delayed,total_delay_hours,total_cancelled,delay_rate
2003-06-01,536496.0,89441.0,67631.09999999998,4161.0,0.16671326533655423
2003-07-01,558568.0,104579.0,85851.51666666662,7835.0,0.1872269804213632
2003-08-01,556984.0,106326.0,87499.38333333329,9109.0,0.19089596828634214
2003-09-01,527714.0,67386.0,50957.44999999998,7691.0,0.12769416767415684
2003-10-01,552370.0,69394.0,50234.36666666666,5091.0,0.12562955989644622
2003-11-01,528171.0,96177.0,67800.36666666664,7407.0,0.18209443532492317
2003-12-01,555495.0,120668.0,86258.14999999995,11632.0,0.21722607764246302
2004-01-01,583987.0,128236.0,92751.24999999996,17611.0,0.2195870798493802
2004-02-01,553876.0,114517.0,78550.93333333329,9481.0,0.20675566372256607
2004-03-01,601412.0,104031.0,72948.5833333333,7603.0,0.17297792528250183
2004-04-01,582970.0,93754.0,66366.53333333331,4485.0,0.1608213115597715
2004-05-01,594457.0,121019.0,99150.94999999995,10381.0,0.20357906459171984
2004-06-01,588792.0,148726.0,116514.29999999994,8796.0,0.25259514395576027
2004-07-01,614166.0,135999.0,110752.01666666662,10132.0,0.2214368753724563
2004-08-01,623107.0,123884.0,99713.04999999996,10163.0,0.1988165756443115
2004-09-01,585125.0,75147.0,57357.16666666665,17969.0,0.1284289681691946
2004-10-01,610037.0,108341.0,74168.51666666663,6695.0,0.1775974244185189
2004-11-01,584610.0,113696.0,83635.69999999995,7337.0,0.19448179127965654
2004-12-01,606731.0,154041.0,117338.26666666659,17104.0,0.2538868131016876
2005-01-01,594923.0,143316.0,109567.36666666661,25084.0,0.2408984019780711
2005-02-01,545332.0,111897.0,83160.14999999995,9505.0,0.20519059948801832
2005-03-01,617540.0,131384.0,99412.99999999996,10169.0,0.2127538297114357
2005-04-01,594492.0,90137.0,67369.73333333331,7532.0,0.15162020683205157
2005-05-01,614802.0,93619.0,71052.04999999997,5877.0,0.15227504139544112
2005-06-01,609195.0,139742.0,111085.31666666661,9916.0,0.22938796280337168
2005-07-01,627961.0,166767.0,137138.08333333326,13851.0,0.2655690401155486
2005-08-01,630904.0,141431.0,107738.93333333329,13452.0,0.22417198179120754
2005-09-01,574253.0,87235.0,64788.63333333331,11532.0,0.15191039489562963
2005-10-01,592712.0,99904.0,75891.8333333333,10475.0,0.16855403636167313
2005-11-01,566138.0,106543.0,77956.93333333329,5586.0,0.1881926314785441
2005-12-01,572343.0,154090.0,110072.24999999994,10751.0,0.2692266700212984
2006-01-01,581287.0,112299.0,88219.66666666663,9787.0,0.19319028294112892
2006-02-01,531247.0,118610.0,90054.03333333328,11293.0,0.22326714315563193
2006-03-01,605217.0,135897.0,100652.2166666666,7586.0,0.22454260207495824
2006-04-01,585351.0,118715.0,89476.68333333329,6604.0,0.2028099379688426
2006-05-01,602919.0,122693.0,93330.21666666662,7057.0,0.20349831403555038
2006-06-01,598315.0,150683.0,127379.83333333326,10088.0,0.2518455997258969
2006-07-01,621244.0,150771.0,128532.38333333324,10735.0,0.24269208233801856
2006-08-01,628732.0,140784.0,112901.48333333328,9783.0,0.2239173447510227
2006-09-01,584937.0,127900.0,99802.68333333328,9950.0,0.21865602620453142
2006-10-01,611718.0,153067.0,114170.5166666666,11399.0,0.25022477677622695
2006-11-01,586197.0,126990.0,97621.61666666661,9558.0,0.21663365728586123
2006-12-01,604758.0,157128.0,121754.93333333325,18094.0,0.25981963033147143
2007-01-01,621559.0,150144.0,111953.98333333326,15777.0,0.24156033457805293
2007-02-01,565604.0,158435.0,126453.68333333325,25465.0,0.2801164772526361
2007-03-01,639209.0,152689.0,120913.38333333327,16877.0,0.23887179310679293
2007-04-01,614648.0,136991.0,107514.83333333327,11138.0,0.22287715895927426
2007-05-01,631609.0,131298.0,102569.48333333328,6841.0,0.20787860844288159
2007-06-01,629280.0,181502.0,154732.5499999999,17243.0,0.288428044749555
2007-07-01,648560.0,180319.0,149306.08333333326,13506.0,0.27802978907117304
2007-08-01,653279.0,170851.0,141221.9166666666,12295.0,0.2615283822072958
2007-09-01,600187.0,102383.0,80980.83333333331,6507.0,0.17058516762275758
2007-10-01,629992.0,128977.0,99748.06666666661,7327.0,0.2047279965459879
2007-11-01,605149.0,113680.0,88995.91666666661,6279.0,0.18785456143858786
2007-12-01,616382.0,196759.0,151274.38333333321,21554.0,0.31921600565882846
2008-01-01,605765.0,148807.0,118068.99999999993,17308.0,0.24565136645398794
2008-02-01,569236.0,156237.0,127417.53333333325,20596.0,0.2744678832680997
2008-03-01,616090.0,157370.0,125513.6666666666,16183.0,0.255433459397166
2008-04-01,598126.0,122169.0,97511.44999999995,10355.0,0.20425295004731445
2008-05-01,606293.0,120126.0,94281.31666666662,6229.0,0.19813192631285534
2008-06-01,608665.0,164260.0,137681.2166666666,10931.0,0.26986930413281524
2008-07-01,627931.0,140050.0,125246.49999999993,10598.0,0.22303405947468752
2008-08-01,612279.0,120481.0,104333.38333333329,9835.0,0.19677467298404813
2008-09-01,540908.0,71149.0,58188.18333333331,9913.0,0.13153623166971093
2008-10-01,556205.0,73517.0,55300.733333333315,3249.0,0.13217608615528448
2008-11-01,523272.0,81922.0,66950.21666666665,4458.0,0.15655720160834136
2008-12-01,544956.0,168647.0,144973.16666666654,17777.0,0.30946902135218257
2009-01-01,532339.0,108656.0,87149.51666666663,12430.0,0.20411053858537512
2009-02-01,488410.0,78087.0,64133.54999999998,6092.0,0.15988001883663316
2009-03-01,557422.0,107408.0,87662.18333333329,11682.0,0.19268704859155183
2009-04-01,537793.0,102681.0,87808.21666666663,7974.0,0.19093033936849307
2009-05-01,546832.0,100688.0,78817.19999999997,4792.0,0.1841296778535272
2009-06-01,557594.0,122886.0,108617.48333333328,8282.0,0.2203861591050119
2009-07-01,580134.0,121429.0,101551.5333333333,6838.0,0.20931198654104052
2009-08-01,568301.0,108382.0,90378.39999999997,5618.0,0.19071231618455714
2009-09-01,510852.0,66762.0,50344.41666666665,2934.0,0.1306875572572878
2009-10-01,531799.0,114549.0,85132.04999999996,5273.0,0.21539905114526353
2009-11-01,509540.0,54740.0,41452.93333333332,2732.0,0.1074302311889155
2009-12-01,529269.0,132020.0,105819.6666666666,14730.0,0.24943837632659385
2010-01-01,521809.0,96928.0,79609.44999999997,12833.0,0.18575379113813675
2010-02-01,483270.0,95021.0,78833.99999999997,26300.0,0.1966209365365117
2010-03-01,549262.0,100534.0,83977.29999999996,8231.0,0.18303469018428364
2010-04-01,529330.0,73184.0,59079.19999999998,3637.0,0.13825779759318382
2010-05-01,542747.0,100683.0,85402.44999999995,6716.0,0.1855063224670058
2010-06-01,551687.0,120007.0,102025.51666666662,8279.0,0.21752732980838774
2010-07-01,570788.0,122900.0,103966.88333333327,8170.0,0.21531636965037806
2010-08-01,569217.0,97597.0,81029.96666666665,5613.0,0.17145833662733193
2010-09-01,526107.0,72738.0,58481.983333333315,4754.0,0.13825704657037446
2010-10-01,545519.0,82391.0,67319.38333333332,5275.0,0.15103231968089104
2010-11-01,520999.0,83138.0,62912.66666666666,3755.0,0.15957420263762503
2010-12-01,539382.0,129763.0,109459.49999999993,19692.0,0.24057717906789622
2011-01-01,494400.0,97078.0,80134.88333333332,19134.0,0.1963551779935275
2011-02-01,455516.0,92709.0,79147.14999999998,22179.0,0.20352523292266353
2011-03-01,526687.0,101542.0,85378.89999999998,6671.0,0.19279382251697877
2011-04-01,507024.0,112528.0,95279.44999999995,10163.0,0.22193821199785416
2011-05-01,520612.0,107145.0,95355.53333333328,10754.0,0.20580585925795025
2011-06-01,528588.0,111137.0,99536.08333333328,9290.0,0.21025259748613287
2011-07-01,547219.0,110478.0,100054.66666666661,9232.0,0.20188991975790313
2011-08-01,541442.0,96632.0,88981.29999999996,13726.0,0.17847156297442754
2011-09-01,487468.0,73512.0,62770.89999999999,3987.0,0.1508037450663428
2011-10-01,504397.0,68219.0,55855.93333333332,3901.0,0.1352486236040262
2011-11-01,478040.0,66279.0,53807.583333333314,3228.0,0.1386473935235545
2011-12-01,493888.0,72613.0,59405.59999999998,3713.0,0.1470232117403136
2012-01-01,486133.0,70908.0,61317.26666666665,7104.0,0.14586131778751904
2012-02-01,464826.0,58987.0,48562.41666666665,4661.0,0.1269012490695443
2012-03-01,521628.0,86476.0,72366.28333333331,5410.0,0.16578097801498387
2012-04-01,505218.0,63639.0,53027.733333333315,4961.0,0.12596344548294003
2012-05-01,518423.0,80453.0,69750.46666666663,4479.0,0.15518794497929297
2012-06-01,526933.0,94684.0,84694.2333333333,5786.0,0.17968887885177054
2012-07-01,545131.0,121396.0,108568.81666666661,7710.0,0.2226914264644645
2012-08-01,540793.0,104434.0,92598.99999999996,7099.0,0.19311270671033093
2012-09-01,490199.0,77075.0,64826.466666666645,3953.0,0.15723206289690514
2012-10-01,515254.0,86545.0,68434.1833333333,14624.0,0.1679657023526261
2012-11-01,488006.0,63834.0,55478.38333333332,5105.0,0.13080576878153138
2012-12-01,494218.0,106727.0,91854.04999999996,7970.0,0.21595126037497622
2013-01-01,509519.0,88210.0,73895.09999999998,7561.0,0.1731240640682683
2013-02-01,469746.0,83565.0,70207.73333333331,11329.0,0.17789401080583975
2013-03-01,552312.0,101743.0,88807.79999999997,8933.0,0.18421290864583786
2013-04-01,536393.0,111306.0,98128.71666666662,9459.0,0.2075083008167519
2013-05-01,548642.0,105278.0,92169.2333333333,6238.0,0.19188833519854476
2013-06-01,552141.0,143184.0,131288.61666666658,9852.0,0.2593250637065532
2013-07-01,571623.0,142559.0,124715.88333333326,9599.0,0.2493933938977263
2013-08-01,562921.0,112650.0,93541.38333333329,5537.0,0.2001168902918882
2013-09-01,510806.0,77134.0,67681.84999999998,4412.0,0.15100449094176654
2013-10-01,535344.0,81338.0,63419.049999999974,3263.0,0.15193595146298455
2013-11-01,503296.0,77352.0,63455.833333333314,5082.0,0.15369086978636826
2013-12-01,516739.0,144958.0,118339.58333333326,14747.0,0.28052459752408854
2014-01-01,471949.0,119994.0,112272.69999999992,30852.0,0.2542520484204861
2014-02-01,430602.0,101440.0,89583.21666666662,23719.0,0.23557716870799486
2014-03-01,503758.0,102297.0,83324.29999999996,9848.0,0.20306774284477863
2014-04-01,483499.0,91806.0,75937.34999999996,5562.0,0.18987836582909168
2014-05-01,499278.0,104145.0,91271.9166666666,9513.0,0.2085912057010323
2014-06-01,502617.0,129706.0,109987.19999999992,10133.0,0.2580613071185415
2014-07-01,520880.0,117151.0,104074.33333333326,8390.0,0.2249097680847796
2014-08-01,507491.0,105706.0,90748.58333333328,5949.0,0.2082913785663194
2014-09-01,469489.0,81178.0,66748.0833333333,6776.0,0.1729071394643964
2014-10-01,491011.0,92285.0,72455.21666666663,5206.0,0.18794894615395583
2014-11-01,462054.0,84657.0,71061.83333333331,4301.0,0.18321884455063694
2014-12-01,477183.0,110163.0,90089.16666666663,6735.0,0.2308611161755553
2015-01-01,469968.0,95951.0,84422.3833333333,11982.0,0.20416496442310966
2015-02-01,429191.0,95179.0,87420.24999999997,20517.0,0.22176373689103454
2015-03-01,504312.0,95452.0,85638.73333333331,11002.0,0.18927172068084835
2015-04-01,485151.0,82247.0,72947.99999999997,4520.0,0.16952866221032215
2015-05-01,496993.0,89645.0,84015.3333333333,5694.0,0.1803747738901755
2015-06-01,503897.0,115742.0,109291.46666666659,9120.0,0.2296937667817034
2015-07-01,520718.0,107627.0,98385.18333333328,4806.0,0.20668960934709382
2015-08-01,510536.0,94113.0,89077.86666666664,5052.0,0.18434155475813654
2015-09-01,464946.0,60061.0,53966.149999999994,2075.0,0.12917844222769956
2015-10-01,486165.0,60079.0,53673.08333333333,2454.0,0.12357738627832114
2015-11-01,467972.0,70571.0,64925.41666666665,4599.0,0.15080175737009907
2015-12-01,479230.0,96772.0,93076.59999999995,8063.0,0.20193226634392672
2016-01-01,445827.0,70882.0,65607.53333333331,11665.0,0.15898992209982796
2016-02-01,423889.0,61680.0,63886.46666666665,6823.0,0.1455097914784295
2016-03-01,479122.0,82569.0,76925.68333333332,4733.0,0.17233397756730018
2016-04-01,461630.0,66607.0,61959.18333333333,4109.0,0.14428654983428288
2016-05-01,479358.0,75498.0,69571.88333333332,2509.0,0.15749815378068166
2016-06-01,487637.0,100361.0,96094.73333333328,4982.0,0.20581087981428808
2016-07-01,502457.0,113601.0,114673.99999999991,9309.0,0.22609098888064053
2016-08-01,498347.0,103421.0,100781.9166666666,6893.0,0.20752808785846008
2016-09-01,454878.0,63686.0,59527.149999999994,1517.0,0.14000677104630252
2016-10-01,472626.0,63470.0,56740.38333333332,4547.0,0.13429223106642463
2016-11-01,450938.0,58871.0,53396.11666666666,1310.0,0.1305523153959081
2016-12-01,460949.0,103593.0,102314.58333333326,7464.0,0.2247385285573892
2017-01-01,450017.0,97699.0,96186.08333333328,8886.0,0.2171006873073684
2017-02-01,410517.0,64264.0,62326.91666666665,6312.0,0.156544065166607
2017-03-01,488597.0,88638.0,84956.4833333333,8527.0,0.18141331199331964
2017-04-01,468329.0,92143.0,96194.43333333329,7398.0,0.19674843966527805
2017-05-01,486483.0,96680.0,92392.73333333328,4039.0,0.19873253536094787
2017-06-01,494266.0,110719.0,108326.19999999992,5379.0,0.2240069112583103
2017-07-01,509070.0,110081.0,108203.33333333327,5757.0,0.21623941697605437
2017-08-01,510451.0,104709.0,97764.38333333327,11007.0,0.20513036510850208
2017-09-01,458727.0,58914.0,56886.78333333332,15343.0,0.12842932724692463
2017-10-01,479797.0,69027.0,66423.41666666664,3303.0,0.14386709379174942
